Information about the 422 Basho elements used in phylogenetic inference,,,,,,,,,,,
Name,ID,Chromosome,Testart (bp),Teend (bp),Nearest Gene,dist to gene,Occ. Freq.,Terminal Branch Length,Size,Recom K ,Gene Density (genes/MB)
BashoII,113,2,15141310,15141850,At2g36200,1081,NA,0.03499,540,3.51512001,279
BashoII,779,2,4765216,4765776,At2g11810,11501,1,0.03512,560,2.21107485,213
BashoIV,1695,3,12361202,12362002,At3g30730,1124,0.741935484,0.03515,798,3.049213183,204
BashoII,350,2,7820485,7821771,At2g17960,274,NA,0.03522,1286,4.401378988,247
BashoII,788,1,29145177,29145767,At1g77380,1169,1,0.03547,590,2.993715938,259
BashoII,792,1,11174193,11174787,At1g31350,753,NA,0.03561,594,4.248746019,221
BashoVI,1725,5,16404921,16405234,At5g40890,2694,0.972972973,0.03566,311,4.616228492,271
BashoIII,1460,3,10826384,10826997,At3g28810,1206,0.976744186,0.03605,613,4.131877882,207
BashoIV,1697,4,4948253,4949061,At4g08091,15162,0.869565217,0.03676,806,5.675759305,180
BashoVI,512,3,19659122,19659556,At3g53150,468,0.9375,0.03677,432,4.923449425,291
BashoVI,510,3,15794144,15794578,At3g44070,102,1,0.03677,432,2.089458872,189
BashoII,734,5,9854356,9854868,At5g27890,963,0.975609756,0.03679,512,5.20330603,201
BashoII,341,4,6165164,6166457,At4g09790,512,1,0.03684,1293,6.494683069,214
BashoVI,263,3,9768922,9769335,At3g26720,1791,NA,0.03733,411,4.737156075,259
BashoII,866,4,9192560,9193382,At4g16240,95,NA,0.038,822,6.128245572,251
BashoII,31,2,5017170,5017732,At2g12420,142,0.916666667,0.03809,562,2.318430142,212
BashoII,387,1,6514469,6515287,At1g19000,450,0.657894737,0.03864,818,4.826803851,286
BashoVI,513,3,10792351,10792784,At3g28840,225,1,0.03893,431,4.154431909,208
BashoII,23,4,823529,824051,At4g01900,235,1,0.03902,522,8.472616625,252
BashoIII,483,3,11865709,11866781,At3g30270,13564,0.941176471,0.03905,1072,3.399133078,198
BashoIII,877,4,6140445,6140942,At4g09730,938,1,0.03912,497,6.481174696,211
BashoII,770,5,9545743,9546335,At5g27230,301,1,0.03925,592,5.136485984,215
BashoVI,521,2,6953241,6953667,At2g16100,768,0.388888889,0.03938,424,3.711239469,236
BashoIV,1702,2,4766146,4766953,At2g11910,11994,1,0.03938,805,2.211418784,214
BashoII,42,3,16496294,16496852,At3g45160,511,0.292682927,0.03985,558,2.389528396,217
BashoII,776,2,2299066,2299660,At2g05950,348,1,0.03998,594,3.501504415,204
BashoVI,1563,5,18164782,18165133,At5g45080,1463,1,0.04016,349,3.90720842,233
BashoII,351,2,7175313,7176604,At2g16530,3167,NA,0.04081,1291,3.893343045,254
BashoV,1577,4,417461,418141,At4g01080,854,0.558823529,0.04138,678,10.22371038,246
BashoII,32,2,7347465,7348023,At2g17000,551,1,0.04158,558,4.032773015,256
BashoII,225,1,20579211,20580068,At1g54990,193,NA,0.04158,857,4.398484899,272
BashoIII,1005,1,6404189,6405277,At1g18710,494,NA,0.04203,1088,4.824406531,274
BashoII,49,1,25845222,25845761,At1g68660,614,0.72,0.04213,539,4.744381559,255
BashoII,54,1,4582997,4583534,At1g13520,4389,0.857142857,0.04283,537,4.550031763,276
BashoII,19,4,572198,572757,At4g01460,341,0.574468085,0.04327,559,9.504317691,265
BashoII,1667,1,10591413,10591960,At1g30130,2207,1,0.0434,547,4.348882035,247
BashoII,301,1,2986366,2986892,At1g09410,58,1,0.0437,526,3.813639905,278
BashoIII,577,1,17750926,17752071,At1g48090,802,1,0.04481,1145,3.961001636,242
BashoIII,819,2,4361882,4362791,At2g11005,5223,NA,0.04482,909,2.103431111,201
BashoIII,481,4,6033545,6034618,At4g09630,359,NA,0.04533,1073,6.42062219,212
BashoVII,2061,2,12883752,12884599,At2g30320,494,1,0.0455,351,1.982105597,231
BashoVI,519,2,2734776,2735208,At2g06820,7295,0.964285714,0.04684,430,2.853745502,207
BashoII,795,3,8644755,8645344,At3g23920,549,1,0.04695,589,5.061157247,232
BashoIII,1209,1,19121493,19122061,At1g51510,1249,NA,0.04737,568,4.148023892,249
BashoII,423,1,23619319,23619964,At1g63490,1846,1,0.04748,645,4.840735863,256
BashoII,791,1,17696738,17697282,At1g47940,1957,0.411764706,0.04778,544,3.955052069,241
BashoVII,1433,5,7506324,7509308,At5g22590,483,0.888888889,0.0485,432,5.485287304,198
BashoII,738,1,28958137,28958684,At1g77000,367,1,0.04933,547,3.167552622,261
BashoIII,1459,2,8309430,8310020,At2g19250,242,NA,0.04969,590,4.748039841,258
BashoII,1594,1,24711072,24711588,At1g66260,1158,0.911111111,0.04994,516,4.865381383,235
BashoII,386,4,1198714,1199583,At4g02710,1653,NA,0.05065,869,7.221560661,250
BashoII,794,1,14015296,14015849,At1g37020,1388,NA,0.05141,553,3.88367401,172
BashoIII,1004,2,794449,795635,At2g02890,260,0.888888889,0.05185,1186,7.859660896,243
BashoII,44,3,5865872,5866434,At3g17320,964,0.510638298,0.05208,562,3.978905275,283
BashoII,34,2,1596923,1597475,At2g04570,797,1,0.05212,552,5.081013204,228
BashoIII,820,2,12150988,12151854,At2g28390,536,1,0.05328,866,5.271395591,245
BashoIII,318,5,13537130,13538062,At5g35350,270,0.923076923,0.05381,932,5.399667372,183
BashoII,809,1,6218593,6219131,At1g18070,389,NA,0.05471,538,4.817272945,280
BashoII,793,1,13880269,13880863,At1g36675,9567,NA,0.05472,594,3.893951824,172
BashoII,969,1,5437061,5437780,At1g15970,692,NA,0.05521,719,4.739558713,300
BashoII,1456,5,25281739,25282562,At5g62950,1480,1,0.05528,823,6.437729421,284
BashoII,1591,5,22352306,22352800,At5g55170,2171,0.909090909,0.05562,494,3.349845373,288
BashoVI,517,1,10652478,10652912,At1g30260,1042,0.923076923,0.05579,432,4.338261585,232
BashoIII,1765,3,1283259,1283827,At3g04850,1870,1,0.05839,568,4.317290988,284
BashoIII,876,4,9078981,9079477,At4g16020,314,0.909090909,0.05852,496,6.220504406,244
BashoIII,1114,2,3598086,3598726,At2g07770,9147,1,0.05856,640,2.178006925,221
BashoII,1038,1,11732335,11732884,At1g32570,5955,NA,0.05882,549,4.157425895,242
BashoIII,1110,1,22894146,22894799,At1g61890,763,0.829268293,0.06046,653,4.770248234,251
BashoII,1099,5,15598039,15598570,At5g39040,379,NA,0.06129,531,4.90564928,260
BashoII,121,5,15048321,15049036,At5g37870,4391,0.636363636,0.06204,715,5.076196474,217
BashoII,588,5,26908866,26910624,At5g67530,1498,1,0.06286,1758,10.58717334,176
BashoVI,503,4,16705432,16705866,At4g35090,2212,0.7,0.06288,432,13.87454575,280
BashoIII,1203,5,15284879,15285440,At5g38330,802,0.76,0.0637,561,5.005834434,235
BashoII,454,3,21563079,21563633,At3g58190,2614,1,0.06453,554,4.404690059,293
BashoIII,312,1,1275705,1276600,At1g04730,2923,1,0.06465,895,2.287221134,284
BashoIII,1458,5,15808336,15808961,At5g39550,219,NA,0.06475,625,4.834234732,265
BashoI,175,5,15307616,15308121,At5g38370,54,NA,0.06484,503,4.998823416,237
BashoII,110,4,12365075,12365610,At4g23730,273,NA,0.06489,535,2.641058454,264
BashoIII,1205,3,14308064,14308630,At3g42120,128,1,0.06615,566,2.062949715,199
BashoIII,2024,5,13922781,13923037,At5g35735,2617,1,0.06735,256,5.339336128,167
BashoVI,337,4,15591923,15592451,At4g32410,515,1,0.06763,526,6.752666703,263
BashoIII,486,2,1441894,1442933,At2g04280,2465,NA,0.06767,1039,5.530647511,243
BashoIII,817,4,6045093,6045992,At4g09560,1415,NA,0.06792,899,6.427325617,211
BashoII,29,5,22638405,22638964,At5g55880,975,0.909090909,0.0695,559,3.469361085,286
BashoIII,625,1,5657314,5657857,At1g16690,1601,NA,0.07102,543,4.769840076,308
BashoIII,310,1,16714597,16715481,At1g44090,1615,1,0.07117,884,3.869985051,187
BashoII,566,2,707443,710071,At2g02710,650,NA,0.07188,2628,8.232449929,251
BashoIII,319,5,11292618,11293533,At5g29602,941,1,0.07219,915,5.432497548,172
BashoV,1999,5,24361317,24362768,At5g60680,407,NA,0.07928,1449,4.960718044,294
BashoII,53,1,13812116,13812676,At1g36640,4995,1,0.0797,560,3.899462524,171
BashoVI,265,5,16498011,16498412,At5g41170,340,0.727272727,0.08191,399,4.580474577,271
BashoIII,624,5,7643947,7644541,At5g22860,999,1,0.08341,594,4.684166299,250
BashoII,821,4,9146459,9147036,At4g16250,1203,NA,0.08369,577,6.166352757,241
BashoIII,485,3,11090368,11091365,At3g29110,3240,1,0.08397,997,3.952351725,204
BashoIII,1208,2,6255709,6256270,At2g14620,2617,1,0.0882,561,3.142756045,176
BashoI,176,1,16806068,16806543,At1g44170,3597,NA,0.09586,473,3.875997741,197
BashoIII,482,4,7896289,7897308,At4g13660,3115,0.863636364,0.09621,1019,6.823586652,253
BashoIII,1003,3,10067205,10068367,At3g27330,1281,1,0.09897,1162,4.589962844,247
BashoIII,316,1,13882865,13883808,At1g36675,12163,1,0.11398,943,3.893746177,172
BashoIII,594,4,11696276,11696736,At4g22070,2030,NA,0.11963,460,3.297688608,265
BashoIII,314,1,11298482,11299411,At1g31550,1217,NA,0.12128,929,4.227914298,233
BashoII,1734,4,963675,965797,At4g02180,158,1,0.12143,2122,7.966579851,256
BashoV,2076,4,8597590,8598449,At4g15056,164,1,0.12143,857,6.547578441,250
BashoIII,488,1,11490405,11491419,At1g31990,1243,0.102040816,0.12793,1014,4.196265638,237
BashoIII,1117,4,9368740,9369364,At4g16640,228,1,0.13025,624,5.974580907,263
BashoIII,487,2,292734,293814,At2g01660,239,1,0.14006,1080,10.2228393,187
BashoIII,601,2,686478,687098,At2g02650,285,NA,0.1644,620,8.32452882,251
BashoV,1115,5,13845752,13847418,At5g35710,1032,1,0.16617,1664,5.352657444,175
BashoIII,1207,4,5516922,5518895,At4g08710,1989,1,0.1936,1973,6.087317266,187
BashoVII,94,4,563510,564259,At4g01450,888,1,0.2181,5029,6.104338502,188
BashoIII,1204,5,14619957,14620524,At5g37070,1073,NA,0.23794,567,5.190903496,188
BashoV,1562,5,18130736,18131544,At5g44990,349,0.75862069,0.2782,806,3.920844416,232
BashoII,2025,2,825445,826272,At2g03000,357,NA,0.34926,827,7.730452193,237
